crime_type,nibrs_ucr,description,apd_code,ext,offense
CRIMES AGAINST PERSONS,09A,Homicide: Murder and Non-Negligent Manslaughter,0100,0,MURDER
CRIMES AGAINST PERSONS,09A,Homicide: Murder and Non-Negligent Manslaughter,0101,0,CAPITAL MURDER
CRIMES AGAINST PERSONS,09A,Homicide: Murder and Non-Negligent Manslaughter,0102,0,MANSLAUGHTER
CRIMES AGAINST PERSONS,09B,Homicide: Negligent Manslaughter,0103,0,CRIM NEG HOMICIDE/NON TRAFFIC
CRIMES AGAINST PERSONS,09C,Homicide: Justifiable Homicide (NOT A CRIME),0107,0,JUSTIFIED HOMICIDE
CRIMES AGAINST PERSONS,11A,Rape,0200,0,RAPE
CRIMES AGAINST PERSONS,11A,Rape,0202,0,AGGRAVATED RAPE
CRIMES AGAINST PERSONS,11A,Rape,0204,0,RAPE OF A CHILD
CRIMES AGAINST PERSONS,11A,Rape,0206,0,AGGRAVATED RAPE OF A CHILD
CRIMES AGAINST PERSONS,11A,Rape,2014,0,CONT SEX ABUSE OF CHILD
CRIMES AGAINST PERSONS,11B,Sodomy,1716,0,FORCED SODOMY
CRIMES AGAINST PERSONS,11B,Sodomy,1718,0,AGGRAVATED FORCED SODOMY
CRIMES AGAINST PERSONS,11B,Sodomy,1719,4,AGGRAVATED SODOMY
CRIMES AGAINST PERSONS,11B,Sodomy,1720,0,FORCED SODOMY OF CHILD
CRIMES AGAINST PERSONS,11B,Sodomy,1722,0,AGGRAVATED FORCED SODOMY OF CHILD
CRIMES AGAINST PERSONS,11C,Sexual Assault with an Object,1700,0,SEXUAL ASSAULT WITH OBJECT
CRIMES AGAINST PERSONS,11C,Sexual Assault with an Object,1701,0,AGGRAVATED SEXUAL ASSAULT WITH OBJECT
CRIMES AGAINST PERSONS,11C,Sexual Assault with an Object,1707,0,SEXUAL ASSAULT OF CHILD/OBJECT
CRIMES AGAINST PERSONS,11C,Sexual Assault with an Object,1712,0,AGGRAVATED SEXUAL ASSAULT CHILD/OBJECT
CRIMES AGAINST PERSONS,11D,Fondling,0902,9,ASSAULT  CONTACT-SEXUAL NATURE
CRIMES AGAINST PERSONS,11D,Fondling,1709,0,INDECENCY WITH A CHILD/CONTACT
CRIMES AGAINST PERSONS,11D,Fondling,1724,0,INDECENT ASSAULT
CRIMES AGAINST PERSONS,64A,"Human Trafficking, Commercial Sex Acts",1603,0,COMPELLING PROSTITUTION
CRIMES AGAINST PERSONS,64B,"Human Trafficking, Involuntary Servitude",4199,0,TRAFFICKING OF PERSONS
CRIMES AGAINST PERSONS,36A,"Sex Offense, Consensual: Incest",1715,0,INCEST-PROHIBITED SEX CONDUCT
CRIMES AGAINST PERSONS,36B,"Sex Offense, Consensual: Statutory Rape",0208,0,STATUTORY RAPE OF CHILD
CRIMES AGAINST PERSONS,36B,"Sex Offense, Consensual: Statutory Rape",2603,0,SEXUAL PERFORMANCE BY CHILD
CRIMES AGAINST PERSONS,13A,Aggravated Assault,0402,0,AGGRAVATED ASSAULT
CRIMES AGAINST PERSONS,13A,Aggravated Assault,0402,1,AGGRAVATED ASSAULT FAMILY/DATE VIOLENCE
CRIMES AGAINST PERSONS,13A,Aggravated Assault,0403,0,AGGRAVATED ASSAULT ON PUBLIC SERVANT
CRIMES AGAINST PERSONS,13A,Aggravated Assault,0403,3,AGGRAVATED ASSAULT ON PEACE OFFICER
CRIMES AGAINST PERSONS,13A,Aggravated Assault,0405,0,SERIOUS INJURY TO A CHILD
CRIMES AGAINST PERSONS,13A,Aggravated Assault,0406,0,AGGRAVATED ASSAULT WITH MOTOR VEHICLE
